file_id	author	title	volume	birth	death
hcaeventyr04val_workid71700	 Hans Christian Andersen	I andegaarden	Eventyr IV	1805	1875
stuckenberg02_workid98196	 Viggo Stuckenberg	Iv. et kammers paa slottet, en aften i høst	SAMLEDE VÆRKER	1863	1905
nansen03ny_workid61912	 Peter Nansen	Det aandelige børstenbinderlaug	SAMLEDE SKRIFTER III	1861	1918
kingo04val_workid89153	 Thomas Kingo	Til jordans flood min siæl vil ile hen	Samlede Skrifter 4	1634	1703
ingemann01_workid58868	 B.S. Ingemann	Moster maria	Fjorten Eventyr og Fortællinger	1789	1862
aarestrup07val_workid83958	 Emil Aarestrup	Fragment (dk)	Udvalgte digte	1800	1856
stub01val_workid58962	 Ambrosius Stub	Indskrift paa en tavle i køng kirke	Digte	1705	1758
paludanm03_workid109672	 Frederik Paludan-Müller	Adonis et mythisk digt (1874)	POETISKE SKRIFTER I UDVALG III. BIND	1809	1876
aakjaer01val_workid82217	 Jeppe Aakjær	Arbejdernes læseselskab	SAMLEDE VÆRKER I	1866	1930
bording01val_workid102349	 Anders Bording	Min ædle faders dyd min moders hæld och ære	Digte	1619	1677
heibergjl04val_workid54574	 Johan Ludvig Heiberg	Julespøg og nytaarsløier	Dramatik i udvalg	1791	1860
kaalund01_workid77077	 H. V. Kaalund	Skaden og grisen.	SAMLEDE DIGTE	1818	1885
wesselhhl_workid83559	 Johan Herman Wessel	Fragmenter	Samlede Digte	1742	1785
brorson03grval_workid69907	 Hans Adolph Brorson	I hælen sverdet følger	Samlede skrifter	1694	1764
grundtvig11val_workid125095	 N.F.S. Grundtvig	I dag sukker helved og klager	SAMLET UDGAVE	1783	1872
grundtvig11val_workid88562	 N.F.S. Grundtvig	Vor fader god i himmerig	SAMLET UDGAVE	1783	1872
bording01val_workid102298	 Anders Bording	Min faders lyst min moders trøst	Digte	1619	1677
ingemann01_workid64025	 B.S. Ingemann	O siel! hvor blev de gode ord	Fjorten Eventyr og Fortællinger	1789	1862
topsoe01_workid61481	 Vilhelm Topsøe	I september	UDVALGTE SKRIFTER FØRSTE BIND	1840	1881
kingo03val_workid81098	 Thomas Kingo	Blant alle ting i verden her	Samlede Skrifter 3	1634	1703
staffeldt01val_workid74680	 Schack von Staffeldt	Platonismus	Samlede digte	1769	1826
richardt03_workid63152	 Christian Richardt	Skyttesang. [klippers vælde, mur al fjelde]	SAMLEDE DIGTE. TREDJE DEEL.	1831	1892
claussen04val_workid57762	 Sophus Claussen	Tonearkitektur	Lyrik II	1865	1931
aakjaer02val_workid89701	 Jeppe Aakjær	Sypigen. (thomas hood.)	SAMLEDE VÆRKER II	1866	1930
rode_08_workid58337	 Helge Rode	Norden	DEN STILLE HAVE	1870	1937
aare03val_workid79229	 Emil Aarestrup	D. 17. juli 1847	Aarestrup vol 3	1800	1856
michs_03_workid64083	 Sophus Michaëlis	Ekko	SOLBLOMSTER	1865	1932
drachmann01_workid94151	 Holger Drachmann	Lægen paa valpladsen	SAMLEDE POETISKE SKRIFTER FØRSTE BIND	1846	1908
oehl05val_workid55836	 Adam Oehlenschläger	Helge	POETISKE SKRIFTER V	1779	1850
moeller01val_workid64327	 Poul Martin Møller	Poetens bøn paa bjærget	SKRIFTER I UDVALG	1794	1838
hertz09_lev_workid70697	 Henrik Hertz	Posthuset i hirschholm, et maanskins-stykke	Digte fra forskjellige Perioder	1798	1870
worm01val_workid107793	 Jacob Worms	Qvinde-ukruds lifactige contrafayt,	SKRIFTER	1642	1693
bording01val_workid88804	 Anders Bording	Den gamle tjd forsuinder hen	Digte	1619	1677
kaalund01_workid79669	 H. V. Kaalund	Stæren.	SAMLEDE DIGTE	1818	1885
wintherchr01val_workid93360	 Christian Winther	Der var saa eensomt og saa stille	Poetiske Skrifter 1	1796	1876
wied01val_workid74975	 Gustav Wied	Selma tornhjelm	Romaner Noveller Skuespil 1	1858	1914
claussen03val_workid63490	 Sophus Claussen	Efteraarsdigt	Lyrik I	1865	1931
kingo09val_workid92762	 Thomas Kingo	Mørket skiuler jorderige (dk)	Digtning i udvalg	1634	1703
