Fil;Mediatyp;Författare;Verk;Utgiven;Införd;Sidor;file_id
lb12106.xml;etext;Selma Lagerlöf;Kejsarn av Portugallien;1914;2013-03-20;sidor;lb12106_170.txt
lb487379.xml;faksimil;Isak Collijn, Svenska fornskriftsällskapet;Processus seu negocium canonizacionis B. Katerine de Vadstenis;1942–1946;2016-12-14;sidor;lb487379_1464.txt
lb1667839.xml;faksimil;Carl Fredric Dahlgren;Freja. Poetisk kalender I;1832;2017-05-22;sidor;lb1667839_567.txt
lb908213.xml;etext;Hans Ruin;I konstens brännspegel;1949;2013-03-23;sidor;lb908213_1737.txt
lb53619.xml;faksimil;Jakob Magnus Sprengtporten, Henrik Schück;Svenska memoarer och bref VIII;1904;2012-06-13;sidor;lb53619_1519.txt
lb2874083.xml;etext;Edith Södergran;Rosenaltaret;1919;2006-08-01;sidor;lb2874083_1321.txt
lb2518188.xml;etext;Johannes Messenius;Disa;1611;2015-03-29;sidor;lb2518188_1219.txt
lb1639923.xml;faksimil;Frida Stéenhoff;Äktenskap och demokrati;1912;2016-05-09;sidor;lb1639923_511.txt
lb8208450.xml;faksimil;Heliga Birgitta, Carl-Gustaf Undhagen, Birger Bergh, Svenska fornskriftsällskapet;Revelaciones II;2001;2016-09-12;sidor;lb8208450_1658.txt
lb111261.xml;faksimil;Johan Ludvig Runeberg, Gunnar Castrén, Martin Lamm, Gunnar Tideström;Samlade skrifter III;1950;2011-08-13;sidor;lb111261_61.txt
lb8451921.xml;etext;Wilhelmina Stålberg;En vinter i Hernösand;1834;2010-05-07;sidor;lb8451921_1709.txt
lb1563133.xml;faksimil;August Quennerstedt;Karolinska krigares dagböcker. V;1909;2017-02-27;sidor;lb1563133_355.txt
lb99909011.xml;faksimil;August Strindberg, Torbjörn Nilsson;Samlade Verk 11. Tidiga 80-talsdramer. Textkritisk kommentar;2010;2015-03-12;sidor;lb99909011_1934.txt
lb305009.xml;etext;Ola Hansson;På hemmets altare;1908;2014-04-24;sidor;lb305009_1357.txt
lb10515552.xml;faksimil;Thomas Thorild, Stellan Arvidsson, Casimir Fontaine;Samlade skrifter IV;1965;2011-08-13;sidor;lb10515552_43.txt
lb516734.xml;faksimil;William Shakespeare, Carl August Hagberg;X. När slutet är godt, är allting godt. Romeo och Julia. Othello [övers. C. A. Hagberg];;2013-05-22;sidor;lb516734_1507.txt
lb8203274.xml;etext;August Strindberg, Gunnar Ollén;Samlade Verk 41. Folkungasagan. Gustav Vasa. Erik XIV;1992;2017-06-19;sidor;lb8203274_1629.txt
lb99909035.xml;faksimil;August Strindberg, Per Stam, Elisabeth Bladh;Samlade Verk 35. Naturvetenskapliga skrifter I. Textkritisk kommentar;2015;2017-03-27;sidor;lb99909035_1952.txt
lb1662369.xml;etext;Hilma Angered Strandberg;På prärien;1898;2014-04-23;sidor;lb1662369_552.txt
lb734909.xml;etext;Emilie Flygare-Carlén;Minnen af svenskt författarlif II;1878;2009-09-16;sidor;lb734909_1557.txt
lb1635820.xml;etext;Alfred Kämpe;Vinddrivna;1911;2015-06-24;sidor;lb1635820_498.txt
lb111255.xml;faksimil;Johan Ludvig Runeberg;Samlade skrifter IX;1970;2011-08-13;sidor;lb111255_56.txt
lb1612989.xml;etext;Albert Engström;En bok till;1909;2017-03-27;sidor;lb1612989_416.txt
lb1620756.xml;etext;Alfhild Agrell;På landsbygden;1887;2007-09-12;sidor;lb1620756_437.txt
lb1611438.xml;etext;Hilma Angered Strandberg;Ödesglimtar;1908;2014-02-19;sidor;lb1611438_410.txt
lb8225179.xml;etext;Henrica Carolina von Platen;Evelina Reder. Också En tafla ur lifvet;1841;2012-09-20;sidor;lb8225179_1677.txt
lb1563131.xml;faksimil;August Quennerstedt;Karolinska krigares dagböcker. III;1907;2017-02-27;sidor;lb1563131_353.txt
lb1470073.xml;etext;Hjalmar Bergman;Flickan i frack;1925;2008-10-08;sidor;lb1470073_292.txt
lb10158210.xml;faksimil;Anonym;Mördaren Pehr Victor Göthes sista och uppriktiga Sjelfbekännelse. Andra upplagan;1862;2017-06-19;sidor;lb10158210_16.txt
lb1205390.xml;etext;Anne Charlotte Leffler;Sanna kvinnor;1883;2014-11-02;sidor;lb1205390_151.txt
lb135578.xml;faksimil;Georg Stiernhielm, Johan Nordström, Bernt Olsson;Samlade skrifter I:2;1976;2011-08-24;sidor;lb135578_254.txt
lb645301.xml;etext;Ellen Key;Människor;1899;2008-04-17;sidor;lb645301_1534.txt
lb1810573.xml;etext;Erik Gustaf Geijer;Minnen. Utdrag ur bref och dagböcker;1834;2008-12-03;sidor;lb1810573_646.txt
lb111273.xml;faksimil;Viktor Rydberg, Ingemar Wizelius;Singoalla [SVS];1941–1968;2011-08-04;sidor;lb111273_70.txt
lb53616.xml;faksimil;Gudmund Jöran Adlerbeth, Henrik Schück;Svenska memoarer och bref V;1902;2012-06-13;sidor;lb53616_1516.txt
